ID;First Author;Year;familia;elegivel;Outcome;Predictor Timing;3 Most Important Features;rotulo_proposto;termos_top3;termos_preditores;antropometria_top3;antropometria_preditores;antro_crianca_qualquer;rotulo_IVS;leakage_IVS;obs_IVS
AA_55;Mgomezulu;2025;stunting;True;stunting;"Same time as outcome (cross-sectional survey); all predictors measured concurrently with anthropometry";"household income; food consumption score (FCS); distance to urban centre";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_56;Saleem;2025;stunting;True;stunting;Same moment as outcome (cross-sectional survey);"consanguineous marriage; household wealth; maternal education";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_57;Ayele;2025;stunting;True;stunting (multi-class severity: severe, moderate, normal);same time as outcome (cross-sectional survey);"child age; child height; child weight";classificacao diagnostica (nowcasting);height;height;True;True;True;;;
AA_58;Ndagijimana;2025;stunting;True;stunting;"cross-sectional; predictors and outcome measured at the same survey (some predictors retrospectively reported, e.g. birthweight, breastfeeding initiation, antenatal care)";"mother's height; child's size at birth; sex of the child";classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_59;Islam, Md. Merajul;2024;stunting;True;stunting;same moment as outcome (cross-sectional survey);"father education; wealth; mother education";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_60;Shen;2023;stunting;True;stunting;"cross-sectional; predictors measured at the same survey as the outcome (some retrospective/recall items, e.g., birth size, early breastfeeding, illness in past 2 weeks)";"Highland region; child's age; household wealth: richest";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_61;Ndagijimana;2023;stunting;True;stunting;same moment as outcome (cross-sectional survey);"mother's height; baby's age; television";classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_62;Chilyabanyama;2022;stunting;True;stunting;"Same moment as outcome (cross-sectional survey); predictors and outcome measured at the same survey visit.";"child age (months); age of household head; birth interval (months)";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_01;Berrouyne;2024;underweight;False;underweight;same moment as outcome (cross-sectional survey);"region (Ed Dakhla-Oued ed Dahab); child age (12-23 months); birth weight (high)";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_02;Anku;2024;underweight;False;underweight;same moment as outcome (cross-sectional survey);"child age; child weight; child sex (female)";classificacao diagnostica (nowcasting);weight;weight;True;True;True;;;
AA_05;Rahman, S. M. Jubaidur;2021;underweight;False;underweight;same time as outcome (cross-sectional survey);NR;classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_07;Chen (Kening Chen);2025;underweight;False;underweight;"cross-sectional (predictors and outcome collected at the same survey; fetal/early-life factors reported retrospectively by parents via questionnaire)";"maternal BMI; age; paternal BMI";classificacao diagnostica (nowcasting);;;False;False;True;;;
AA_45;Tamanna;2025;underweight;False;underweight;same moment as outcome (cross-sectional survey);"mother's education; wealth index; father's occupation";classificacao diagnostica (nowcasting);;;False;False;True;;;
AA_56;Saleem;2025;underweight;False;underweight;Same moment as outcome (cross-sectional survey);"consanguineous marriage; household wealth; maternal education";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_59;Islam, Md. Merajul;2024;underweight;False;underweight;same moment as outcome (cross-sectional survey);"father education; wealth; mother education";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_01;Berrouyne;2024;wasting;False;wasting;same moment as outcome (cross-sectional survey);"region; twin child; maternal age (35-39 years)";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_02;Anku;2024;wasting;False;wasting;same moment as outcome (cross-sectional survey);"child weight; child length/height; child sex (female)";classificacao diagnostica (nowcasting);weight;weight;True;True;True;;;
AA_05;Rahman, S. M. Jubaidur;2021;wasting;False;wasting;same time as outcome (cross-sectional survey);NR;classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_45;Tamanna;2025;wasting;False;wasting;same moment as outcome (cross-sectional survey);"antenatal care; television ownership; mother's BMI";classificacao diagnostica (nowcasting);;bmi;False;True;True;;;
AA_55;Mgomezulu;2025;wasting;False;wasting;"Same time as outcome (cross-sectional survey); all predictors measured concurrently with anthropometry";"household income; food consumption score (FCS); distance to urban centre";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_56;Saleem;2025;wasting;False;wasting;Same moment as outcome (cross-sectional survey);"consanguineous marriage; household wealth; maternal education";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_59;Islam, Md. Merajul;2024;wasting;False;wasting;same moment as outcome (cross-sectional survey);"BMI; mother education; BCG";classificacao diagnostica (nowcasting);bmi;;True;True;True;;;
